"Key";"Type";"Desc";"English";"Українська [uk]"
"Block/UtopiaDecoration";"Text";"";"Utopia decoration@Hand carved and crafted by people on Utopia.";"Utopia decoration@Hand carved and crafted by people on Utopia."
"Block/UtopiaDreamCatcher";"Text";"";"Utopia dream catcher@Protects all your dreams from evil.";"Utopia dream catcher@Protects all your dreams from evil."
"Block/UtopiaHerb";"Text";"";"Utopia herbs@Herbs for your kitchen.";"Utopia herbs@Herbs for your kitchen."
"Block/UtopiaLightBottle";"Text";"";"Utopia light bottle@A decorative light bottle from Utopia.";"Utopia light bottle@A decorative light bottle from Utopia."
"Block/UtopiaPlant";"Text";"";"Utopia plant@A decorative plant from Utopia.";"Utopia plant@A decorative plant from Utopia."
"Block/Wall_Slope_Thatch";"Text";"";"Triangular thatch wall@Fills triangular holes.";"Triangular thatch wall@Fills triangular holes."
"Block/Wall_Slope_Tier3";"Text";"";"Triangular solid wooden wall@Fills triangular holes.";"Triangular solid wooden wall@Fills triangular holes."
"Block/Wall_Slope_Wood";"Text";"";"Triangular wooden wall@Fills triangular holes.";"Triangular wooden wall@Fills triangular holes."
"Block/Wall_Thatch";"Text";"";"Thatch wall@Provides support for additional floors.";"Thatch wall@Provides support for additional floors."
"Block/Wall_Tier3";"Text";"";"Solid wooden wall@Provides support for additional floors.";"Solid wooden wall@Provides support for additional floors."
"Block/Wall_VSlope_Thatch";"Text";"";"Pyramid thatch wall@Fills pyramid holes.";"Pyramid thatch wall@Fills pyramid holes."
"Block/Wall_VSlope_Tier3";"Text";"";"Pyramid solid wooden wall@Fills pyramid holes.";"Pyramid solid wooden wall@Fills pyramid holes."
"Block/Wall_VSlope_Wood";"Text";"";"Pyramid wooden wall@Fills pyramid holes.";"Pyramid wooden wall@Fills pyramid holes."
"Block/Wall_Wood";"Text";"";"Wooden wall@Provides support for additional floors.";"Wooden wall@Provides support for additional floors."
"Block/Wardrobe";"Text";"";"Wardrobe@Lets you change the colour of your clothes.";"Wardrobe@Lets you change the colour of your clothes."
"Block/WaterTank";"Text";"";"Water tank@Can be connected with waterpipes!";"Water tank@Can be connected with waterpipes!"
"Block/WavingCat";"Text";"";"Lucky cat@Might bring you some happiness.";"Lucky cat@Might bring you some happiness."
"Block/WindTurbine";"Text";"";"Wind turbine@Charges batteries with wind power.";"Wind turbine@Charges batteries with wind power."
"Block/Window_Thatch";"Text";"";"Thatch window@Provides support for additional floors.";"Thatch window@Provides support for additional floors."
"Block/Window_Thatch_Half";"Text";"";"Half thatch window@Provides support for additional floors.";"Half thatch window@Provides support for additional floors."
"Block/Window_Tier3";"Text";"";"Solid wooden window@Provides support for additional floors.";"Solid wooden window@Provides support for additional floors."
"Block/Window_Tier3_Half";"Text";"";"Solid half wooden window@Provides support for additional floors.";"Solid half wooden window@Provides support for additional floors."
"Block/Window_Wood";"Text";"";"Wooden window@Provides support for additional floors.";"Wooden window@Provides support for additional floors."
"Block/Window_Wood_Half";"Text";"";"Half wooden window@Provides support for additional floors.";"Half wooden window@Provides support for additional floors."
"Block/WineGoblet";"Text";"";"Wine goblet@Suits kings and queens!";"Wine goblet@Suits kings and queens!"
"Block/WorldGlobe";"Text";"";"World globe@A very non flat object.";"World globe@A very non flat object."
"Block/ZiplineBase";"Text";"";"Zipline@Place rope between these to ride the zipline.";"Zipline@Place rope between these to ride the zipline."
"Character/Female";"Text";"";"Female";"Жінка"
"Character/Male";"Text";"";"Male";"Чоловік"
"Character/Name";"Text";"";"Character name";"Ім'я персонажа"
"Character/Outfit";"Text";"";"Outfit";"Одяг"
"Character/Title";"Text";"";"Character";"Персонаж"
"Controls/Action 1";"Text";"";"Action 1";"Дія 1"
"Controls/Action 2";"Text";"";"Action 2";"Дія 2"
"Controls/AltKey";"Text";"";"Alt.Key";"Альтернатива"
"Controls/AutoRun";"Text";"";"Auto run";"Автоматичний біг"
"Controls/BlockPick";"Text";"";"Block pick";"Вибір блоку"
"Controls/Cancel";"Text";"";"Cancel";"Скасувати"
"Controls/Chat";"Text";"";"Open chat";"Відкрити чат"
"Controls/ChatNextMessage";"Text";"";"Next message";"Наступне повідомлення"
"Controls/ChatPreviousMessage";"Text";"";"Previous message";"Попереднє повідомлення"
"Controls/ColorPick";"Text";"";"Color pick";"Вибір кольору"
"Controls/Crouch";"Text";"";"Crouch";"Присідання"
"Controls/DropItem";"Text";"";"Drop item";"Викинути предмет"
"Controls/GameInfo";"Text";"";"GameInfo";"Інформація про гру"
"Controls/Hotbar";"Text";"";"Hotbar";"Панель швидкого доступу"
"Controls/Interact";"Text";"";"Interact";"Взаємодія"
"Controls/Inventory";"Text";"";"Inventory";"Інвентар"
"Controls/InvertMouseY";"Text";"";"Invert mouse up/down";"Інвертувати поворот вгору/вниз"
"Controls/Jump";"Text";"";"Jump";"Стрибок"
"Controls/Key";"Text";"";"Key";"Клавіша"
"Controls/Keybinds";"Text";"";"Keybinds";"Призначення клавіш"
"Controls/Mirror";"Text";"";"Mirror";"Дзеркало"
"Controls/MouseSensitivity";"Text";"";"Mouse Sensitivity";"Чутливість миші"
"Controls/PaintOneSide";"Text";"";"Paint one side";"Фарбувати одну сторону"
"Controls/ResetKeybinds";"Text";"";"Reset Keybinds";"Скинути прив'язку клавіш"
"Controls/Rotate";"Text";"";"Rotate";"Обертати"
"Controls/SortStorage";"Text";"";"Sort items into storage";"Сортування предметів у сховищі"
"Controls/Sprint";"Text";"";"Sprint";"Біг"
"Controls/StopNotebookVoice";"Text";"";"Stop playing note";"Stop playing note"
"Controls/StrafeLeft";"Text";"";"Strafe left";"Йти ліворуч"
"Controls/StrafeRight";"Text";"";"Strafe right";"Йти праворуч"
"Controls/SwimDown";"Text";"";"Swim down";"Плисти вниз"
"Controls/ToggleNoClip";"Text";"";"Toggle noclip";"Toggle noclip"
"Controls/ToggleNotebook";"Text";"";"Hide/Show notebook";"Сховати/показати блокнот"
"Controls/TogglePaintSide";"Text";"";"Toggle single sided painting";"Перемкнути одностороннє фарбування"
"Controls/ToggleRun";"Text";"";"Toggle sprint";"Перемкнути біг"
"Controls/ToggleThirdPerson";"Text";"";"Toggle third person mode";"Перемкнути режим від третьої особи"
"Controls/ToggleUI";"Text";"";"Hide/Show UI";"Приховати/показати інтерфейс"
"Controls/WalkBackward";"Text";"";"Walk backward";"Йти назад"
"Controls/WalkForward";"Text";"";"Walk forward";"Йти вперед"
"Crafting/Decorations";"Text";"";"Decorations";"Декорації"
"Crafting/Equipment";"Text";"";"Equipment";"Спорядження"
"Crafting/FoodWater";"Text";"";"Food/Water";"Їжа/Вода"
"Crafting/Navigation";"Text";"";"Navigation";"Навігація"
"Crafting/Other";"Text";"";"Other";"Інше"
"Crafting/Resources";"Text";"";"Resources";"Ресурси"
"Crafting/Tools";"Text";"";"Tools";"Інструменти"
"Crafting/Weapons";"Text";"";"Weapons";"Зброя"
"CraftingSub/Anchors";"Text";"";"Anchors";"Якорі"
"CraftingSub/Arrows";"Text";"";"Projectiles";"Снаряди"
"CraftingSub/Axes";"Text";"";"Axes";"Сокири"
"CraftingSub/Backpacks";"Text";"";"Backpacks";"Рюкзаки"
"CraftingSub/Batteries";"Text";"";"Batteries";"Акумулятори"
"CraftingSub/BatteryCharger";"Text";"";"Batter chargers";"Зарядні пристрої"
"CraftingSub/Beds";"Text";"";"Beds";"Ліжка"
"CraftingSub/BiofuelRefiners";"Text";"";"Biofuel refiners";"Переробники біопалива"
"CraftingSub/Bookpiles";"Text";"";"Bookpiles";"Книжкові стелажі"
"CraftingSub/Bottles";"Text";"";"Bottles";"Пляшки"
"CraftingSub/BowCategory";"Text";"";"Bow and Arrow";"Лук та стріли"
"CraftingSub/Candlesticks";"Text";"";"Candlesticks";"Свічники"
"CraftingSub/Clocks";"Text";"";"Clocks";"Годинники"
"CraftingSub/Containers";"Text";"";"Containers";"Контейнери"
"CraftingSub/CookingTable";"Text";"";"Cooking tables";"Столи для готування їжі"
"CraftingSub/Cropplots";"Text";"";"Cropplots";"Грядки"
"CraftingSub/Cropplots2";"Text";"";"Cropplots";"Грядки"
"CraftingSub/Cupboards";"Text";"";"Cupboards";"Шафи"
"CraftingSub/Curtains";"Text";"";"Curtains";"Фіранки"
"CraftingSub/DevPainting";"Text";"";"Developer paintings";"Картини розробника"
"CraftingSub/Figurines";"Text";"";"Animals";"Тварини"
"CraftingSub/FishingRod";"Text";"";"Fishing rods";"Вудки"
"CraftingSub/Flowers";"Text";"";"Flowers";"Квіти"
"CraftingSub/Grills";"Text";"";"Grills";"Грилі"
"CraftingSub/Hats";"Text";"";"Hats";"Капелюхи"
"CraftingSub/HeadLights";"Text";"";"Head lights";"Налобні ліхтарі"
"CraftingSub/Heads";"Text";"";"Heads";"Голови"
"CraftingSub/Healing";"Text";"";"Healing";"Зцілення"
"CraftingSub/Hooks";"Text";"";"Hooks";"Гаки"
"CraftingSub/ItemNets";"Text";"";"Collection nets";"Сітки для забору сміття"
"CraftingSub/Lanterns";"Text";"";"Lanterns";"Ліхтарі"
"CraftingSub/LeatherArmor";"Text";"";"Leather armor";"Шкіряні обладунки"
"CraftingSub/Lights";"Text";"";"Lights";"Світло"
"CraftingSub/Music";"Text";"";"Music";"Музика"
"CraftingSub/NetGunCategory";"Text";"";"Net launcher";"Запускач сітки"
"CraftingSub/Painting";"Text";"";"Painting";"Картина"
"CraftingSub/Paintings";"Text";"";"Paintings";"Картини"
"CraftingSub/Pipes";"Text";"";"Pipes";"Труби"
"CraftingSub/Purifiers";"Text";"";"Purifiers";"Очищувачі"
"CraftingSub/RedbeetPaintings";"Text";"";"Redbeet paintings";"Картини Redbeet"
"CraftingSub/Rugs";"Text";"";"Rugs";"Килими"
"CraftingSub/Scarecrows";"Text";"";"Scarecrows";"Опудала"
"CraftingSub/Seating";"Text";"";"Seating";"Сидіння"
"CraftingSub/Seed_Flower";"Text";"";"Flower seeds";"Насіння квіток"
"CraftingSub/Seeds";"Text";"";"Seeds";"Насіння"
"CraftingSub/Seeds_Tree";"Text";"";"Tree seeds";"Насіння дерев"
"CraftingSub/Shelves";"Text";"";"Shelves";"Полиці"
"CraftingSub/Shovels";"Text";"";"Shovels";"Лопати"
"CraftingSub/Smelters";"Text";"";"Smelters";"Плавильні"
"CraftingSub/Spears";"Text";"";"Spears";"Списи"
"CraftingSub/Storages";"Text";"";"Storages";"Сховища"
"CraftingSub/Tables";"Text";"";"Tables";"Столи"
"CraftingSub/Tableware";"Text";"";"Tableware";"Посуд"
"CraftingSub/TangaroaPaintings";"Text";"";"Tangaroa paintings";"Картини Танґароа"
"CraftingSub/TangaroaPlants";"Text";"";"Tangaroa plants";"Рослини Тангароа"
"CraftingSub/Tanks";"Text";"";"Tanks";"Резервуари"
"CraftingSub/Temperance";"Text";"";"Temperance";"Temperance"
"CraftingSub/Tiki";"Text";"";"Tiki pieces";"Tiki pieces"
"CraftingSub/Toys";"Text";"";"Toys";"Іграшки"
"CraftingSub/Trader";"Text";"";"Trading post";"Торговельний пункт"
"CraftingSub/TrophyBoards";"Text";"";"Trophy boards";"Дошки для трофеїв"
"CraftingSub/Utopia";"Text";"";"Utopia";"Утопія"
"CraftingSub/Weapons";"Text";"";"Weapons";"Зброя"
"CraftingSub/ZiplineTools";"Text";"";"Zipline tools";"Знаряддя для зіплайнів"
"DeathMenu/FindBed";"Text";"";"Find a bed";"Знайдіть ліжко"
"DeathMenu/Incapacitated";"Text";"";"Incapacitated";"Недієздатні"
"DeathMenu/InventoryLoss";"Text";"";"Lose 2/3 of inventory";"Втрата 2/3 запасів інвентарю"
