"Key";"Type";"Desc";"English";"Українська [uk]";"Svenska [sv]";"Français [fr]";"Italiano [it]";"Deutsch [de]";"Español [es]";"Polski [pl]";"Português-Brasil";"中文 [zh-CN]";"日本語 [ja]";"한국어 [ko]";"Pусский [ru]"
"Block/CookingStand_Purifier_One";"Text";;"Simple purifier@Can purify one cup of saltwater into freshwater. Uses planks as fuel.";;"Enkel vattenrenare@Kan rena en kopp saltvatten till sötvatten. Använder plankor som bränsle.";"Purificateur simple@Permet de purifier un gobelet d'eau de mer et d'en faire de l'eau douce. Nécessite de brûler des planches.";"Depuratore semplice@Può trasformare una tazza di acqua salata in acqua dolce. Usa le assi come combustibile.";"Einfacher Reiniger@Kann eine Tasse Salzwasser zu Süßwasser aufbereiten. Verwendet Bretter als Brennstoff.";"Desalinizadora básica@Puede transformar una taza de agua salada en agua potable. Tienes que usar tablas de combustible.";"Prosty filtr@Pozwala uzdatnić jeden kubek słonej wody. Jako podpałki użyj desek.";"Filtro simples@Pode filtrar um copo de água marinha por vez.";"初级净化器@可以把一杯海水净化成淡水。用木板作为燃料。";"簡素な洗浄機@カップ一杯分の塩水を新鮮な水に変えることができます。厚板を燃料に使います。";"단순 정수기@바닷물 한 컵을 담수로 만들 수 있습니다. 판자를 연료로 사용합니다.";"Обычный опреснитель@Может превратить одну чашку соленой воды в пресную. Топить можно досками."
"Block/CookingStand_Purifier_Two";"Text";;"Advanced purifier@Can purify several cups of water at once. Does not require fuel.";;"Avancerad vattenrenare@Kan rena flera koppar vatten åt gången. Kräver inte bränsle.";"Purificateur avancé@Permet de purifier plusieurs gobelets d'eau à la fois. Ne nécessite aucun carburant.";"Depuratore migliorato@Può purificare svariate tazze allo stesso tempo. Non richiede carburante.";"Fortschrittlicher Reiniger@Kann mehrere Tassen Wasser auf einmal reinigen. Benötigt keinen Treibstoff.";"Desalinizadora avanzada@Puede transformar varias tazas de agua salada en agua potable a la vez. No usa ni necesita ningún objeto como combustible.";"Zaawansowany filtr@Pozwala uzdatnić kilka kubków słonej wody naraz. Nie wymaga podpałki.";"Filtro avançado@Pode filtrar vários copos de água ao mesmo tempo.";"高级净化器@可以把好几杯海水净化成淡水。不需要燃料。";"アドバンス洗浄機@一度にいくつかのカップの水をきれいにできます。燃料は必要ありません。";"고급 정수기@한 번에 여러 컵의 물을 정수할 수 있습니다. 연료가 필요하지 않습니다.";"Улучшенный опреснитель@Может очищать несколько чашек воды за раз. Не нуждается в топливе."
"Block/CookingStand_Smelter";"Text";;"Smelter@Can smelt metal ore, sand and seaweed.";;"Smältugn@Kan smälta metallmalm, sand och sjögräs.";"Fonderie@Permet de faire fondre du minerai, du sable et des algues.";"Fonditrice@Può fondere minerali, sabbia e alghe.";"Schmelze@Kann Metallerz, Sand und Seetang schmelzen.";"Alto horno@Sirve para fundir minerales, arena y algas.";"Piec do wytapiania@Można w nim przetapiać metal, piasek i rozpuszczać glony.";"Fundição@Funde metal bruto, areia e alga.";"熔炉@可以冶炼金属矿、沙子以及海草。";"溶鉱炉@金属の鉱物、砂、海藻を溶かします。";"제련기@금속 광물, 모래, 해초를 제련할 수 있습니다.";"Плавильня@Может плавить железную руду, песок и водоросли."
"Block/CookingStand_Smelter_Electric";"Text";;"Electric Smelter@Can smelt metal ore, sand and seaweed. With electricity!";;"Elektrisk Smältugn@Kan smälta metallmalm, sand och sjögräs. Med el!";"Fonderie électrique@Permet de faire fondre du minerai, du sable et des algues grâce à l'électricité !";"Fonditrice elettrica@Può fondere minerali, sabbia e alghe. Con l’elettricità!";"Elektrischer Schmelzer@Kann Metallerz, Sand und Seetang schmelzen. Mit Strom!";"Soldadora eléctrica@Puede soldar metales, arena y algas... ¡gracias a la magia de la electricidad!";"Elektryczny piec do wytapiania@Można w nim przetapiać metal, piasek i rozpuszczać glony. Za pomocą prądu!";"Fundição elétrica@Pode fundir minério, areia e algas… com eletricidade!";"电子熔炉@可以用电冶炼金属矿、沙子以及海草！";"電気溶鉱炉@金属の鉱石、砂、海藻の製錬ができる。それも電気を使って！";"전기 제련기@금속 광물, 모래, 해초를 제련할 수 있습니다. 전기를 사용합니다!";"Электрическая плавильня@Может плавить железную руду, песок и водоросли. Работает на электричестве!"
"Block/Cropplot_Grass";"Text";;"Grass plot@Add water, get grass, feed animals.";;"Gräslott@Vattna, få gräs, mata djur.";"Carré d'herbe@Ajoutez de l'eau et faites pousser l'herbe pour nourrir vos animaux.";"Vaso d'erba@Aggiungi acqua, fai crescere l'erba, dalle alle bestie.";"Wiese@Gieße sie ein wenig und du erhältst Gras für deine Tiere.";"Terreno de hierba@Añade agua, obtén hierba y alimenta animales.";"Pole z trawą@Dodaj wody, wyhoduj trawę, karm zwierzęta.";"Plantação de grama@Regue, cultive grama, alimente animais.";"小草坪@浇水，种草，喂动物。";"草地@水をやって草地にし、動物に餌を与えます。";"풀밭@물을 뿌리고 풀을 키워 동물 먹이로 먹이세요.";"Лужайка@Поливайте, выращивайте траву, кормите животных."
"Block/Cropplot_Large";"Text";;"Large crop plot@Lets you grow trees.";;" Stor planteringslåda@Låter dig odla träd.";"Grand carré de terre@Permet de faire pousser des arbres.";"Vaso di coltivazione grande@Permette di far crescere gli alberi.";"Große Anbaufläche@Lässt dich Bäume züchten.";"Macetero grande@Sirve para sembrar árboles.";"Duży skrawek ziemi@Pozwala na uprawę drzewa.";"Plantação grande@Para cultivar árvores.";"大土盆@可以种树。";"大区画の作物の地面@木を育てましょう。";"큰 작물 밭@나무를 키울 수 있습니다.";"Большая грядка@Позволяет выращивать деревья."
"Block/Cropplot_Large_Tier3";"Text";;"Advanced large crop plot@A fancier plot that lets you grow trees.";;"Avancerad stor planteringslåda@En finare låda som låter dig odla träd.";"Carré de terre (grand) avancé@Un carré élégant pour cultiver des arbres.";"Vaso di coltivazione grande avanzato@Un vaso elegante che consente di coltivare degli alberi.";"Fortgeschrittene große Anbaufläche@Eine ausgeklügelte Parzelle, auf der du Bäume anbauen kannst.";"Macetero grande avanzado@Un macetero de mejor calidad que te permite plantar árboles.";"Zaawansowany duży skrawek ziemi@Ulepszony skrawek ziemi, który pozwala hodować drzewa.";"Plantação grande avançada@Uma plantação mais refinada que permite cultivar árvores.";"高级大土盆@更加精美的土盆，可以种树。";"改良型 大区画の作物の地面@木を育てることができる栽培用地面";"고급 대형 농경지@좋은 땅에서 나무를 기를 수 있습니다.";"Улучшенная большая грядка@Позволяет выращивать деревья."
"Block/Cropplot_Medium";"Text";;"Medium crop plot@Lets you grow bigger plants.";;"Medium planteringslåda@Låter dig odla större plantor.";"Carré de terre moyen@Permet de faire pousser de plus grosses plantes.";"Vaso di coltivazione medio@Permette di far crescere piante più grandi.";"Mittlere Anbaufläche@Lässt dich größere Pflanzen züchten.";"Macetero mediano@Sirve para sembrar plantas medianas.";"Średni skrawek ziemi@Pozwala na uprawę większych roślin.";"Plantação média@Para cultivar plantas maiores.";"中土盆@可以种更大一些的植物。";"中区画の作物の地面@大きな作物を栽培しましょう。";"중간 크기 작물 밭@더 큰 작물을 키울 수 있습니다.";"Средняя грядка@Позволяет выращивать большие растения."
"Block/Cropplot_Medium_Tier3";"Text";;" Advanced medium crop plot@A fancier plot that lets you grow more bigger plants.";;"Avancerad medelstor planteringslåda@En finare låda som låter dig odla fler större plantor.";" Carré de terre (moyen) avancé@Un carré élégant pour cultiver des plantes plus volumineuses.";" Vaso di coltivazione medio avanzato@Un vaso elegante che consente di coltivare più piante di grandi dimensioni.";" Fortgeschrittene mittlere Anbaufläche@Eine ausgeklügelte Parzelle, auf der du mehr größere Pflanzen anbauen kannst.";" Macetero mediano avanzado@Un macetero de mejor calidad con espacio para más plantas grandes.";" Zaawansowany średni skrawek ziemi@Ulepszony skrawek ziemi, który pozwala hodować więcej większych roślin.";" Plantação média avançada@Uma plantação mais refinada que permite cultivar mais plantas maiores.";" 高级中土盆@更加精美的土盆，可以种下更多更大的植物。";" 改良型 中区画の作物の地面@より大きな植物を育てることができる栽培用地面";" 고급 중형 농경지@좋은 땅에서 더 큰 식물을 더 많이 기를 수 있습니다.";" Улучшенная средняя грядка@Позволяет выращивать больше крупных растений."
"Block/Cropplot_Shoe";"Text";;"Old shoe@Maybe you could plant something in this...";;"Gammal sko@Man kanske kan plantera något i den...";"Vieille chaussure@Vous pourriez vous en servir pour planter quelque chose...";"Vecchia scarpa@Magari ci potresti piantare dentro qualcosa...";"Alter Schuh@Möglicherweise könnten Sie etwas darin pflanzen ...";"Zapato raído@Quizás podrías plantar algo dentro...";"Stary but@Może uda ci się coś w nim zasadzić…";"Sapato velho@Talvez dê para plantar algo nisso...";"旧鞋@或许你可以在这里面种点什么……";"古い靴@何かを植えることができるかも...";"낡은 신발@이걸로 뭔가를 키울 수 있을 지도 모릅니다...";"Старый башмак@Может, в него можно посадить что-нибудь."
"Block/Cropplot_Small";"Text";;"Small crop plot@Lets you grow plants.";;"Liten planteringslåda@Låter dig odla plantor.";"Petit carré de terre@Permet de faire pousser des plantes.";"Vaso di coltivazione piccolo@Permette di far crescere le piante.";"Kleine Anbaufläche@Lässt dich Pflanzen züchten.";"Macetero pequeño@Sirve para sembrar plantas pequeñas.";"Mały skrawek ziemi@Pozwala na uprawę roślin.";"Plantação pequena@Para cultivar plantas.";"小土盆@可以种植物。";"小区画の作物の地面@作物を栽培しましょう。";"작은 작물 밭@작물을 키울 수 있습니다.";"Маленькая грядка@Позволяет выращивать растения."
"Block/Cropplot_Small_Tier3";"Text";;"Advanced small crop plot@A fancier plot that lets you grow more plants.";;"Avancerad liten planteringslåda@En finare låda som låter dig odla fler plantor.";"Carré de terre (petit) avancé@Un carré élégant pour cultiver plus de plantes.";"Vaso di coltivazione piccolo avanzato@Un vaso elegante che consente di coltivare più piante.";"Fortgeschrittene kleine Anbaufläche@Eine ausgeklügelte Parzelle, auf der du mehr Pflanzen anbauen kannst.";"Macetero pequeño avanzado@Un macetero de mejor calidad con espacio para más plantas.";"Zaawansowany mały skrawek ziemi@Ulepszony skrawek ziemi, który pozwala hodować więcej roślin.";"Plantação pequena avançada@Uma plantação mais refinada que permite cultivar mais plantas.";"高级小土盆@更加精美的土盆，可以种下更多植物。";"改良型 小区画の作物の地面@よりたくさんの植物を育てることができる栽培用地面";"고급 소형 농경지@좋은 땅에서 식물을 더 많이 기를 수 있습니다.";"Улучшенная маленькая грядка@Позволяет выращивать больше растений."
"Block/Cupboard";"Text";;"Cupboard@A decorative piece with minor storage.";;"Skåp@Ett fint skåp med lite förvaring.";"Placard@Un élément décoratif avec peu de rangements.";"Credenza@Un elemento decorativo dalla capienza limitata.";"Schrank@Ein dekoratives Möbel mit begrenztem Stauraum.";"Armario@Decorativo, no cabe mucho dentro.";"Kredens@Ozdobny mebel z niewielką ilością miejsca na przechowywanie.";"Guarda-louça@Uma peça decorativa com pouca capacidade de armazenamento.";"橱柜@装饰用家具，储藏空间很小。";"戸棚@少量の物を収納できる装飾的な棚。";"찬장@물건 보관이 가능한 장식입니다.";"Шкаф для посуды@Декоративное и не очень вместительное хранилище."
"Block/Curtain";"Text";;"Curtain@Keeps the monsters from coming in.";;"Gardin@Håller monsterna borta.";"Rideau@Empêche les monstres de rentrer.";"Tenda@Impedisce ai mostri di sgattaiolare dentro.";"Vorhang@Verhindert, dass Monster hinein kommen.";"Cortinas@Impiden que entren los monstruos.";"Zasłony@Powstrzymują potwory.";"Cortina@Mantém os monstros do lado de fora.";"帘子@防止怪物进入。";"カーテン@モンスターの侵入を阻みます。";"커튼@괴물이 들어오는 걸 막아줍니다.";"Занавеска@Охраняет от чудовищ."
"Block/Cutlery";"Text";;"Cutlery@Where is the spoon?";;"Bestick@Var är skeden?";"Couverts@Où est la cuillère ?";"Posate@Dov’è il cucchiaio?";"Besteck@Wo ist der Löffel?";"Cubertería@¿Dónde está la cuchara?";"Sztućce@Gdzie jest łyżka?";"Talheres@Cadê a colher?";"刀叉@勺子去哪儿了？";"カトラリー@スプーンはどこでしょう？";"식기@수저는 어디에 있죠?";"Приборы@А ложка где?"
